Digi-Key Part Number,Customer Reference,Quantity 1
BAS70BRW-TPCT-ND,D4,1
RMCF0805JT1K50CT-ND,R5,1
RMCF0805JT1K00CT-ND,R4 R2 R3,3
475-2560-1-ND,D3,1
160-1579-1-ND,D5,1
609-4613-2-ND,P4,1
475-1278-1-ND,D2,1
475-1410-1-ND,D1,1
311-1355-1-ND,C13 C12 C3 C1 C9,5
535-11645-1-ND,L1 L2,2
1276-1011-1-ND,C2 C4 C5 C8 C7 C6,6
CTX896-ND,X1,1
1276-1107-1-ND,C11 C10,2
RMCF0805JG10K0-ND,R1,1
MM3Z6V2ST1GOSCT-ND,D6,1
ATXMEGA128A4U-AU-ND,IC1,1
